n_agents,n_waters,layout,arch_label,architecture,broadcast_every_k,hazard_density,n_seeds,success_rate_mean,success_rate_std,mean_t_succ_mean,mean_t_succ_std,p95_t_succ_mean,total_trail_mean,n_hazard_hits_mean,scarcity
3,2,random,shared,shared,-1,0.0,20,0.6666666666666666,0.0,16.4,7.589119635511438,24.7,115.35,0.0,1.5
3,2,random,shared,shared,-1,0.05,20,0.6666666666666666,0.0,16.4,7.589119635511437,24.7,115.35,7.7,1.5
3,2,random,shared,shared,-1,0.1,20,0.6666666666666666,0.0,16.4,7.589119635511438,24.7,115.35,15.3,1.5
3,2,symmetric,centralized,centralized,-1,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,98.0,0.0,1.5
3,2,symmetric,centralized,centralized,-1,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,98.0,6.35,1.5
3,2,symmetric,centralized,centralized,-1,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,98.0,13.05,1.5
3,2,symmetric,independent,independent,-1,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,0.0,1.5
3,2,symmetric,independent,independent,-1,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,6.95,1.5
3,2,symmetric,independent,independent,-1,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,12.65,1.5
3,2,symmetric,peer(K=1),peer,1,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,0.0,1.5
3,2,symmetric,peer(K=1),peer,1,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,6.4,1.5
3,2,symmetric,peer(K=1),peer,1,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,13.15,1.5
3,2,symmetric,peer(K=16),peer,16,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,0.0,1.5
3,2,symmetric,peer(K=16),peer,16,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,6.9,1.5
3,2,symmetric,peer(K=16),peer,16,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,90.0,12.4,1.5
3,2,symmetric,peer(K=2),peer,2,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,0.0,1.5
3,2,symmetric,peer(K=2),peer,2,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,6.4,1.5
3,2,symmetric,peer(K=2),peer,2,0.1,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,13.15,1.5
3,2,symmetric,peer(K=4),peer,4,0.0,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,0.0,1.5
3,2,symmetric,peer(K=4),peer,4,0.05,20,0.6666666666666666,0.0,6.0,0.0,6.0,113.0,6.4,1.5
